Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1531181040	-0.0163421	-0.128744	0.103332
1531181571	-0.0163421	-0.128744	0.103332
1531182103	-0.0121588	-0.13217	0.105804
1531182634	-0.0102526	-0.138923	0.12081
1531183165	-0.0275937	-0.0973646	0.0932339
1531183697	-0.0421247	-0.0955538	0.0789629
1531184228	-0.0584654	-0.10354	0.0897329
1531184759	-0.0579218	-0.0689753	0.0985979
1531185291	-0.0494439	-0.0287809	0.0917496
1531185822	-0.076334	-0.0411539	0.123744
1531186353	-0.0798601	-0.0532856	0.1188
1531186885	-0.0845214	-0.0146193	0.0980799
1531187416	-0.0719269	-0.0670781	0.0371145
1531187948	-0.0517954	-0.101063	-0.0111173
1531188479	-0.0353234	-0.0713975	-0.013645
1531189010	-0.0228328	-0.0616	0.0236506
1531189542	-0.00656578	-0.0598217	0.0466391
1531190073	-0.0136712	-0.0683319	-0.0011746
1531190604	0.00887099	-0.0780537	-0.0180145
1531191136	0.0185929	-0.127653	0.0149165
1531191667	0.0137834	-0.127653	-0.0387282
1531192198	0.0124525	-0.120288	-0.060423
1531192730	0.00287732	-0.0840094	-0.0473332
1531193261	-0.0209988	-0.0635972	-0.0942801
1531193792	-0.0791233	-0.100998	-0.113718
1531194324	-0.095666	-0.0928693	-0.124705
1531194855	-0.0542621	-0.0849051	-0.114328
1531195386	-0.0463617	-0.0922368	-0.154144
1531195918	-0.040625	-0.0714192	-0.160922
1531196449	0.00308892	-0.0820254	-0.211293
1531196980	0.0576026	-0.110906	-0.274133
1531197512	0.0566954	-0.114614	-0.219726
1531198043	0.0159576	-0.0957495	-0.134878
1531198575	0.0106971	-0.114855	-0.161967
1531199106	0.00631055	-0.117517	-0.2348
1531199637	-0.00408854	-0.138924	-0.250793
1531200169	-0.0243513	-0.167433	-0.240651
1531200700	-0.0100127	-0.165075	-0.149757
1531201231	0.012966	-0.147902	-0.113888
1531201763	0.0629308	-0.116456	-0.177402
1531202294	0.0980226	-0.0958599	-0.202152
1531202825	0.109579	-0.110414	-0.196761
1531203357	0.126258	-0.128898	-0.23854
1531203888	0.162305	-0.175943	-0.32286
1531204419	0.190193	-0.174459	-0.506105
1531204951	0.212928	-0.188676	-0.697283
1531205482	0.229752	-0.207703	-0.687841
1531206013	0.263516	-0.181092	-0.784313
1531206545	0.284289	-0.174568	-0.784616
1531207076	0.303453	-0.167268	-0.904773
1531207607	0.301415	-0.151688	-1.00855
1531208139	0.257648	-0.108633	-0.939917
1531208670	0.267045	-0.0614257	-0.780111
1531209202	0.350747	-0.084424	-0.635083
1531209733	0.41776	-0.0278088	-0.721461
1531210264	0.452796	-0.0142342	-0.668462
1531210796	0.442052	0.119793	-0.693767
1531211327	0.444925	0.11459	-0.768814
1531211858	0.430208	0.0714768	-0.673009
1531212390	0.400004	0.114663	-0.691125
1531212921	0.445591	0.162603	-0.672281
1531213452	0.515808	0.199937	-0.639573
1531213984	0.544424	0.186823	-0.675228
1531214515	0.502898	0.204443	-0.643304
1531215046	0.507059	0.179238	-0.678764
1531215578	0.511961	0.181041	-0.643032
1531216109	0.546803	0.218105	-0.764286
1531216640	0.606668	0.2138	-0.827463
1531217172	0.668057	0.260053	-0.799219
1531217703	0.717951	0.321251	-0.794805
1531218234	0.788572	0.251803	-0.811623
1531218766	0.857985	0.237886	-0.795739
1531219297	0.84336	0.284494	-0.753728
1531219828	0.883846	0.253923	-0.809187
1531220360	0.750802	0.296704	-0.771575
1531220891	0.803973	0.269721	-0.822011
1531221423	0.781859	0.251159	-0.86603
1531221954	0.776253	0.315721	-0.80042
1531222485	0.827995	0.458983	-0.816279
1531223017	0.765059	0.46554	-0.894464
1531223548	0.807211	0.410773	-0.905918
1531224079	0.778714	0.451503	-0.86816
1531224611	0.732093	0.428041	-0.847068
1531225142	0.746157	0.389953	-0.798539
1531225673	0.71825	0.402745	-0.76958
1531226205	0.740067	0.457569	-0.778868
1531226736	0.587639	0.425452	-0.747124
1531227267	0.518491	0.389203	-0.706145
1531227799	0.557822	0.386627	-0.690202
1531228330	0.596825	0.452215	-0.68593
1531228861	0.510459	0.483032	-0.714139
1531229393	0.416831	0.426553	-0.624121
1531229924	0.398909	0.330706	-0.532762
1531230455	0.373052	0.332306	-0.58496
1531230987	0.540982	0.383706	-0.594136
1531231518	0.609955	0.379804	-0.769758
1531232050	0.590816	0.373964	-0.795856
1531232581	0.584031	0.35018	-0.703005
1531233112	0.521523	0.347873	-0.750757
1531233644	0.457063	0.336918	-0.790736
1531234175	0.332004	0.335655	-0.673865
1531234706	0.237855	0.355839	-0.68941
1531235238	0.260073	0.350207	-0.689917
1531235769	0.298955	0.357282	-0.806323
1531236300	0.346858	0.378061	-0.848756
1531236832	0.486229	0.372041	-0.810085
1531237363	0.581676	0.316507	-0.794252
1531237894	0.53025	0.358555	-0.810919
1531238426	0.554991	0.311004	-0.84396
1531238957	0.583324	0.316503	-0.807227
1531239488	0.626468	0.248224	-0.8491
1531240020	0.543893	0.287556	-0.783961
1531240551	0.627766	0.390817	-0.825975
1531241082	0.580495	0.436433	-0.827651
1531241614	0.326563	0.322868	-0.823781
1531242145	0.557218	0.338316	-0.852809
1531242677	0.450898	0.332219	-0.850688
1531243208	0.430829	0.345494	-0.888021
1531243739	0.463641	0.309029	-0.853872
1531244271	0.326965	0.323536	-0.817006
1531244802	0.296366	0.361238	-0.808312
1531245333	0.294848	0.332697	-0.810422
1531245865	0.266812	0.392959	-0.745684
1531246396	0.241597	0.340446	-0.761275
1531246927	0.248433	0.278183	-0.749713
1531247459	0.120099	0.373995	-0.77799
1531247990	0.0813788	0.394066	-0.836807
1531248521	0.116885	0.361506	-0.838359
1531249053	0.102996	0.295407	-0.853221
1531249584	0.126838	0.214581	-0.871552
1531250115	0.145686	0.141613	-0.895371
1531250647	0.147547	0.117241	-0.934327
1531251178	0.182464	0.161305	-0.876568
1531251709	0.249766	0.122874	-0.858729
1531252241	0.322713	0.0310327	-0.883026
1531252772	0.352799	0.111613	-0.888572
1531253304	0.394992	0.170085	-0.870654
1531253835	0.39571	0.154574	-0.870942
1531254366	0.397827	0.204129	-0.86297
1531254898	0.407954	0.160595	-0.847717
1531255429	0.410443	0.0968204	-0.90647
1531255960	0.405334	0.122237	-0.887696
1531256492	0.403638	0.034662	-0.841319
1531257023	0.395913	0.0352549	-0.766259
1531257554	0.386712	-0.0322979	-0.757316
1531258086	0.374652	-0.131566	-0.776386
1531258617	0.392373	-0.177691	-0.862743
1531259148	0.35045	-0.183951	-0.778902
1531259680	0.370303	-0.180327	0.763618
1531260211	0.336338	-0.156496	0.860221
1531260742	0.346385	-0.076067	0.329671
1531261274	0.358176	0.148968	-1.04812
1531261805	0.360149	0.314053	-1.02029
1531262336	0.350936	0.235071	-1.02198
1531262868	0.266638	0.289463	-0.986367
1531263399	0.297344	0.277796	-0.964333
1531263930	0.33237	0.323227	-0.947356
1531264462	0.313979	0.267343	-0.922719
1531264993	0.284145	0.213998	-0.959415
1531265525	0.224228	0.203393	-0.941964
1531266056	0.175438	0.147144	-0.944148
1531266587	0.168147	0.149146	-0.974668
1531267119	0.132691	0.151159	-0.935742
