Time	Oxygen	Wind_GEOMAR	Wind_Dir_GEOMAR
1531181040	-0.00780345	-0.127653	0.142441
1531181306	-0.0101944	-0.130249	0.129108
1531181571	-0.0245999	-0.13134	0.114165
1531181837	-0.00808428	-0.126147	0.0924987
1531182103	-0.0115375	-0.126976	0.0908043
1531182368	-0.01278	-0.137363	0.120803
1531182634	0.000203658	-0.140222	0.126643
1531182900	-0.020709	-0.137625	0.114977
1531183165	-0.0222585	-0.112945	0.100734
1531183431	-0.0329289	-0.0817844	0.0857342
1531183697	-0.0391736	-0.090775	0.0803984
1531183962	-0.0450757	-0.100333	0.0775275
1531184228	-0.0553755	-0.105526	0.0858605
1531184494	-0.0615552	-0.101554	0.0936052
1531184759	-0.066911	-0.0807806	0.100272
1531185025	-0.0489326	-0.05717	0.0969242
1531185291	-0.0506891	-0.0312029	0.085258
1531185556	-0.0481986	-0.026359	0.0982411
1531185822	-0.0753695	-0.0289557	0.119907
1531186088	-0.0772985	-0.0533521	0.127581
1531186353	-0.0778808	-0.0714626	0.130466
1531186619	-0.0818395	-0.0351086	0.107134
1531186885	-0.0815316	-0.0120226	0.0939134
1531187151	-0.0875113	-0.017216	0.102246
1531187416	-0.083148	-0.0437077	0.0712798
1531187682	-0.0607058	-0.0904486	0.00294922
1531187948	-0.0489035	-0.102362	-0.0136172
1531188213	-0.0546872	-0.0997651	-0.00861738
1531188479	-0.0362208	-0.080824	-0.012609
1531188745	-0.034426	-0.061971	-0.014681
1531189010	-0.0290758	-0.061971	0.0119846
1531189276	-0.0165899	-0.061229	0.0353167
1531189542	-0.00333748	-0.0586323	0.050316
1531189807	-0.00979409	-0.0610111	0.0429621
1531190073	-0.0187561	-0.0688012	0.0112967
1531190339	-0.00858642	-0.0678626	-0.0136459
1531190604	0.00643575	-0.0626691	-0.0353117
1531190870	0.0113062	-0.0934382	-0.000717314
1531191136	0.0248527	-0.127653	0.0374156
1531191401	0.0123331	-0.127653	-0.0075826
1531191667	0.0192593	-0.127653	-0.0403948
1531191933	0.00830742	-0.127653	-0.0370616
1531192198	0.00990423	-0.124183	-0.0470902
1531192464	0.0150007	-0.116393	-0.0737558
1531192730	0.00914755	-0.096993	-0.0631659
1531192995	-0.00339292	-0.0710258	-0.0315005
1531193261	-0.0158328	-0.0645022	-0.0691632
1531193527	-0.0261647	-0.0626922	-0.119397
1531193792	-0.0597269	-0.0912561	-0.114397
1531194058	-0.0985197	-0.110741	-0.113039
1531194324	-0.112294	-0.0977571	-0.124706
1531194589	-0.0790379	-0.0879816	-0.124704
1531194855	-0.0543278	-0.0827881	-0.108038
1531195121	-0.0541964	-0.0870221	-0.120617
1531195386	-0.0488711	-0.097409	-0.152282
1531195652	-0.0438522	-0.0870646	-0.156006
1531195918	-0.0548894	-0.0714843	-0.152673
1531196183	-0.0263606	-0.0713541	-0.169172
1531196449	0.00568097	-0.0742352	-0.190461
1531196715	0.000496867	-0.0898155	-0.232126
1531196980	0.0411423	-0.104414	-0.264966
1531197246	0.0740629	-0.117397	-0.283299
1531197512	0.0688282	-0.118509	-0.253058
1531197778	0.0445626	-0.110719	-0.186394
1531198043	0.0169102	-0.100943	-0.149044
1531198309	0.0150049	-0.0905561	-0.120712
1531198575	0.00813749	-0.107535	-0.146667
1531198840	0.0132568	-0.122175	-0.177268
1531199106	0.00577517	-0.116982	-0.2206
1531199372	0.00684593	-0.118052	-0.249
1531199637	-0.0029579	-0.131036	-0.249
1531199903	-0.00521919	-0.146813	-0.252585
1531200169	-0.0236562	-0.16499	-0.259252
1531200434	-0.0250464	-0.169876	-0.222051
1531200700	-0.0161421	-0.169876	-0.16872
1531200966	-0.0038834	-0.160275	-0.130795
1531201231	0.00822928	-0.150499	-0.101388
1531201497	0.0177027	-0.145306	-0.126387
1531201763	0.0485199	-0.132037	-0.156569
1531202028	0.0773416	-0.100876	-0.198234
1531202294	0.097166	-0.0906665	-0.210485
1531202560	0.0988792	-0.101053	-0.193819
